,precision,recall,f1-score,support
0,0.9808584686774942,0.983139534883721,0.9819976771196284,1720.0
1,0.9997489329651017,1.0,0.9998744507219084,3982.0
2,0.9997771339425006,1.0,0.9998885545525465,4486.0
3,1.0,1.0,1.0,2824.0
4,0.9903514817367333,0.9883081155433288,0.9893287435456111,2908.0
accuracy,0.9960427135678392,0.9960427135678392,0.9960427135678392,0.9960427135678392
macro avg,0.9941472034643659,0.9942895300854099,0.9942178851879389,15920.0
weighted avg,0.9960439163912564,0.9960427135678392,0.9960429716943316,15920.0
