,precision,recall,f1-score,support
0,0.9505431675242996,0.9676949941792782,0.959042399769253,3436.0
1,0.9880715705765407,0.9989949748743718,0.993503248375812,7960.0
2,0.9966555183946488,0.9962112770225094,0.9964333481943826,4487.0
3,1.0,0.9996457669146298,0.999822852081488,5646.0
4,0.9996446971042814,0.9743722943722943,0.9868467204489653,5775.0
accuracy,0.9895253442719015,0.9895253442719015,0.9895253442719015,0.9895253442719015
macro avg,0.9869829907199541,0.9873838614726168,0.9871297137739802,27304.0
weighted avg,0.9896739474881618,0.9895253442719015,0.9895470117737938,27304.0
