,precision,recall,f1-score,support
0,0.997828447339848,0.08701003597803446,0.1600627013846556,21124.0
1,1.0,0.49723076923076925,0.6642005754212906,8125.0
2,1.0,1.0,1.0,4487.0
3,0.282308836996337,1.0,0.4403133299114017,9865.0
4,0.2385542168674699,0.19776268477826608,0.2162516382699869,10012.0
accuracy,0.4142651968738925,0.4142651968738925,0.4142651968738925,0.4142651968738925
macro avg,0.703738300240731,0.556400697997414,0.496165648997467,53613.0
weighted avg,0.7248896651530957,0.4142651968738925,0.368820931141375,53613.0
