,precision,recall,f1-score,support
0,0.9620866590649944,0.9822467986030268,0.9720622119815668,3436.0
1,0.9967270896273918,0.9947236180904523,0.9957243460764588,7960.0
2,0.9845848931953314,0.9964341430800089,0.9904740806380151,4487.0
3,1.0,1.0,1.0,5646.0
4,0.9973521624007061,0.9783549783549783,0.9877622377622378,5775.0
accuracy,0.9910635804277762,0.9910635804277762,0.9910635804277762,0.9910635804277762
macro avg,0.9881501608576848,0.9903519076256933,0.9892045752916557,27304.0
weighted avg,0.9911814586731941,0.9910635804277762,0.9910839319527166,27304.0
