,precision,recall,f1-score,support
0,0.9982445874780573,0.9927262147221414,0.9954777534646244,3437.0
1,0.9998743718592965,1.0,0.999937181983793,7959.0
2,0.9997771339425006,0.9997771339425006,0.9997771339425006,4487.0
3,1.0,1.0,1.0,5647.0
4,0.9958563535911602,0.9989608590232075,0.9974061905585336,5774.0
accuracy,0.998828010547905,0.998828010547905,0.998828010547905,0.998828010547905
macro avg,0.998750489374203,0.9982928415375699,0.9985196519898902,27304.0
weighted avg,0.9988295252866093,0.998828010547905,0.998827293229999,27304.0
