,precision,recall,f1-score,support
0,0.9967618486900206,0.9854481955762514,0.9910727352553783,3436.0
1,1.0,0.9992462311557789,0.9996229734824683,7960.0
2,0.9968881973771949,0.9995542678850011,0.9982194524816381,4487.0
3,1.0,1.0,1.0,5646.0
4,0.9929407713498623,0.9986147186147186,0.9957696624363291,5775.0
accuracy,0.9975827717550542,0.9975827717550542,0.9975827717550542,0.9975827717550542
macro avg,0.9973181634834155,0.99657268264635,0.9969369647311629,27304.0
weighted avg,0.9975880460106883,0.9975827717550542,0.9975793023407866,27304.0
