,precision,recall,f1-score,support
0,0.9725291131681099,0.9479045401629802,0.9600589535740605,3436.0
1,0.9844020797227037,0.9989949748743718,0.9916448434966953,7960.0
2,0.9878827935668649,0.9993314018275017,0.9935741192111678,4487.0
3,1.0,1.0,1.0,5646.0
4,0.997364722417428,0.983030303030303,0.9901456353012994,5775.0
accuracy,0.9894520949311456,0.9894520949311456,0.9894520949311456,0.9894520949311456
macro avg,0.9884357417750212,0.9858522439790314,0.9870847103166446,27304.0
weighted avg,0.9894470390467887,0.9894520949311456,0.9893976573205273,27304.0
