,precision,recall,f1-score,support
0,0.5754172200727609,0.9434292747585684,0.7148391262240396,21124.0
1,0.9982798869640005,1.0,0.999139203148057,8125.0
2,1.0,0.9997771339425006,0.9998885545525465,4487.0
3,0.771010387157696,0.49665450121654503,0.6041435442101369,9864.0
4,0.0,0.0,0.0,10013.0
accuracy,0.6983194374498722,0.6983194374498722,0.6983194374498722,0.6983194374498722
macro avg,0.6689414988388915,0.6879721819835228,0.663602085626956,53613.0
weighted avg,0.6035548075527022,0.6983194374498722,0.6279081489993218,53613.0
