,precision,recall,f1-score,support
0,0.8673469387755102,0.9415830335163795,0.9029417105502088,21124.0
1,1.0,1.0,1.0,8125.0
2,1.0,0.9997771339425006,0.9998885545525465,4487.0
3,0.9998986315255955,1.0,0.9999493131937757,9864.0
4,0.8496039000609384,0.6961949465694597,0.7652870787133604,10013.0
accuracy,0.9202245723984854,0.9202245723984854,0.9202245723984854,0.9202245723984854
macro avg,0.9433698940724089,0.9275110228056679,0.9336133314019783,53613.0
weighted avg,0.9196262228819974,0.9202245723984854,0.9179034969585766,53613.0
