,precision,recall,f1-score,support
0,0.7001988730527013,1.0,0.8236670240764207,21125.0
1,0.9997529949363962,0.9964303298867553,0.9980888971086863,8124.0
2,1.0,0.9993315508021391,0.9996656636576395,4488.0
3,0.9969678593086719,1.0,0.9984816276951108,9864.0
4,1.0,0.0966743233796065,0.1763045259994536,10013.0
accuracy,0.8306972059536688,0.8306972059536688,0.8306972059536688,0.8306972059536688
macro avg,0.939383945459554,0.8184872408137002,0.7992415477074623,53614.0
weighted avg,0.8812770076532686,0.8306972059536688,0.7760901924243284,53614.0
