,precision,recall,f1-score,support
0,0.5769030691867522,0.9449914788865745,0.7164339805476797,21124.0
1,0.9969325153374233,1.0,0.9984639016897081,8125.0
2,1.0,1.0,1.0,4487.0
3,0.7651396297458425,0.49442416869424166,0.6006897401157778,9864.0
4,0.0,0.0,0.0,10013.0
accuracy,0.6985432637606551,0.6985432637606551,0.6985432637606551,0.6985432637606551
macro avg,0.6677950428540036,0.6878831295161633,0.6631175244706331,53613.0
weighted avg,0.6028559198036019,0.6985432637606551,0.6278080727215433,53613.0
