,precision,recall,f1-score,support
0,1.0,0.9895348837209302,0.994739918176505,1720.0
1,0.9989962358845671,1.0,0.9994978659302034,3981.0
2,0.9993312527864467,0.9991085357700022,0.9992198818678257,4487.0
3,1.0,1.0,1.0,2823.0
4,0.9941860465116279,0.9993124785149536,0.996742671009772,2909.0
accuracy,0.9984924623115577,0.9984924623115577,0.9984924623115577,0.9984924623115577
macro avg,0.9985027070365284,0.9975911796011772,0.9980400673968614,15920.0
weighted avg,0.9984981504781139,0.9984924623115577,0.9984910617738749,15920.0
