,precision,recall,f1-score,support
0,0.9487323943661972,0.9790697674418605,0.9636623748211731,1720.0
1,0.990052225814474,1.0,0.9950012496875781,3981.0
2,0.9997769848349688,0.9991085357700022,0.9994426485341656,4487.0
3,1.0,1.0,1.0,2823.0
4,1.0,0.9683740116878653,0.9839329374781698,2909.0
accuracy,0.9917085427135678,0.9917085427135678,0.9917085427135678,0.9917085427135678
macro avg,0.987712321003128,0.9893104629799456,0.9884078421042174,15920.0
weighted avg,0.9919106130798859,0.9917085427135678,0.9917311142459463,15920.0
