,precision,recall,f1-score,support
0,0.9988372093023256,0.9994182664339732,0.9991276533876127,1719.0
1,0.9994979919678715,1.0,0.9997489329651017,3982.0
2,1.0,0.9995542678850011,0.999777084262149,4487.0
3,1.0,1.0,1.0,2823.0
4,0.999656121045392,0.9993124785149536,0.999484270242393,2909.0
accuracy,0.9996859296482412,0.9996859296482412,0.9996859296482412,0.9996859296482412
macro avg,0.9995982644631178,0.9996570025667856,0.9996275881714511,15920.0
weighted avg,0.9996860441537567,0.9996859296482412,0.9996859426168169,15920.0
