,precision,recall,f1-score,support
0,1.0,0.9918604651162791,0.9959136018680678,1720.0
1,0.9984951091045899,1.0,0.9992469879518072,3981.0
2,0.9968868134311764,0.9991085357700022,0.9979964381121995,4487.0
3,1.0,1.0,1.0,2823.0
4,0.9948400412796697,0.9941560673771055,0.9944979367262724,2909.0
accuracy,0.9978015075376885,0.9978015075376885,0.9978015075376885,0.9978015075376885
macro avg,0.9980443927630871,0.9970250136526774,0.9975309929316694,15920.0
weighted avg,0.9978033819908053,0.9978015075376885,0.997800136306243,15920.0
