,precision,recall,f1-score,support
0,0.9994128009395185,0.9895348837209302,0.9944493134677184,1720.0
1,1.0,1.0,1.0,3981.0
2,0.9993314018275017,0.9993314018275017,0.9993314018275017,4487.0
3,1.0,1.0,1.0,2823.0
4,0.9935064935064936,0.9993124785149536,0.996401028277635,2909.0
accuracy,0.9985552763819096,0.9985552763819096,0.9985552763819096,0.9985552763819096
macro avg,0.9984501392547027,0.9976357528126771,0.9980363487145709,15920.0
weighted avg,0.99856158336849,0.9985552763819096,0.9985542343231227,15920.0
