,precision,recall,f1-score,support
0,0.9487323943661972,0.9790697674418605,0.9636623748211731,1720.0
1,0.9902985074626866,1.0,0.9951256092988376,3981.0
2,0.9995540691192865,0.9991085357700022,0.9993312527864467,4487.0
3,1.0,1.0,1.0,2823.0
4,1.0,0.9683740116878653,0.9839329374781698,2909.0
accuracy,0.9917085427135678,0.9917085427135678,0.9917085427135678,0.9917085427135678
macro avg,0.9877169941896341,0.9893104629799456,0.9884104348769254,15920.0
weighted avg,0.9919093708955434,0.9917085427135678,0.9917308154326553,15920.0
