,precision,recall,f1-score,support
0,0.9603062092429827,0.9854524294442828,0.972716829408386,3437.0
1,0.9944931163954943,0.9983666289734892,0.9964261082199511,7959.0
2,0.9984388938447815,0.9977713394250056,0.9981050050161632,4487.0
3,1.0,1.0,1.0,5647.0
4,1.0,0.9795635607897472,0.989676290463692,5774.0
accuracy,0.9930046879578084,0.9930046879578084,0.9930046879578084,0.9930046879578084
macro avg,0.9906476438966518,0.992230791726505,0.9913848466216384,27304.0
weighted avg,0.9931416082347424,0.9930046879578084,0.9930292703136572,27304.0
