,precision,recall,f1-score,support
0,0.9476006618863761,1.0,0.97309544038516,3436.0
1,0.9998742770932864,0.9992461364493027,0.999560108087727,7959.0
2,1.0,0.9881907308377896,0.9940602936232209,4488.0
3,1.0,1.0,1.0,5646.0
4,1.0,0.9771428571428571,0.9884393063583815,5775.0
accuracy,0.9930046879578084,0.9930046879578084,0.9930046879578084,0.9930046879578084
macro avg,0.9894949877959325,0.9929159448859899,0.991031029690898,27304.0
weighted avg,0.9933692955474309,0.9930046879578084,0.993064548250597,27304.0
