,precision,recall,f1-score,support
0,0.9746646795827124,0.9514111143439046,0.9628975265017667,3437.0
1,0.9848785324739713,0.9983666289734892,0.9915767142946278,7959.0
2,0.9913793103448276,0.9995542678850011,0.9954500055487737,4487.0
3,1.0,1.0,1.0,5647.0
4,0.997723292469352,0.986664357464496,0.9921630094043887,5774.0
accuracy,0.9905142103721066,0.9905142103721066,0.9905142103721066,0.9905142103721066
macro avg,0.9897291629741727,0.987199273733378,0.9884174511499115,27304.0
weighted avg,0.9905048344536111,0.9905142103721066,0.9904692081327205,27304.0
