,precision,recall,f1-score,support
0,0.948905109489051,0.9825581395348837,0.9654384461582405,1720.0
1,0.9912848605577689,1.0,0.9956233587595348,3981.0
2,1.0,0.9991085357700022,0.9995540691192865,4487.0
3,1.0,1.0,1.0,2823.0
4,1.0,0.9683740116878653,0.9839329374781698,2909.0
accuracy,0.9920854271356784,0.9920854271356784,0.9920854271356784,0.9920854271356784
macro avg,0.988037994009364,0.9900081373985502,0.9889097623030463,15920.0
weighted avg,0.9923003654649274,0.9920854271356784,0.9921099712233741,15920.0
