,precision,recall,f1-score,support
0,0.9994179278230501,0.9988365328679465,0.999127145766657,1719.0
1,0.9994979919678715,1.0,0.9997489329651017,3982.0
2,0.999777084262149,0.9995542678850011,0.9996656636576395,4487.0
3,1.0,1.0,1.0,2823.0
4,0.9996562392574768,0.9996562392574768,0.9996562392574768,2909.0
accuracy,0.9996859296482412,0.9996859296482412,0.9996859296482412,0.9996859296482412
macro avg,0.9996698486621094,0.999609408002085,0.999639596329375,15920.0
weighted avg,0.9996859421500094,0.9996859296482412,0.9996859075045068,15920.0
