,precision,recall,f1-score,support
0,0.9506137596345989,0.9691501746216531,0.959792477302205,3436.0
1,0.9883171762366393,0.9989949748743718,0.9936273897288517,7960.0
2,0.9973226238286479,0.9962112770225094,0.9967666406511316,4487.0
3,1.0,0.9996457669146298,0.999822852081488,5646.0
4,0.9996446971042814,0.9743722943722943,0.9868467204489653,5775.0
accuracy,0.9897084676237914,0.9897084676237914,0.9897084676237914,0.9897084676237914
macro avg,0.9871796513608334,0.9876748975610916,0.9873712160425283,27304.0
weighted avg,0.9898640616702498,0.9897084676237914,0.9897323661111384,27304.0
