,precision,recall,f1-score,support
0,0.9780912364945978,0.9482106488216467,0.9629191904269464,3437.0
1,0.9840247678018575,0.9983666289734892,0.9911438193838094,7959.0
2,0.9911602209944751,0.9995542678850011,0.9953395472703063,4487.0
3,1.0,1.0,1.0,5647.0
4,0.9977292576419214,0.9892622099064773,0.9934776937124967,5774.0
accuracy,0.9906607090536185,0.9906607090536185,0.9906607090536185,0.9906607090536185
macro avg,0.9902010965865704,0.9870787511173228,0.9885760501587117,27304.0
weighted avg,0.9906525546437732,0.9906607090536185,0.9906056133925788,27304.0
