,precision,recall,f1-score,support
0,0.9610872675250358,0.9775902211874272,0.9692685038234021,3436.0
1,0.9934755332496863,0.9947236180904523,0.9940991839296924,7960.0
2,0.9848017621145374,0.9964341430800089,0.9905838041431262,4487.0
3,1.0,1.0,1.0,5646.0
4,0.998231027772864,0.9771428571428571,0.9875743787189359,5775.0
accuracy,0.990221213009083,0.990221213009083,0.990221213009083,0.990221213009083
macro avg,0.9875191181324248,0.9891781679001491,0.9883051741230313,27304.0
weighted avg,0.9903292846425339,0.990221213009083,0.9902368755314102,27304.0
