,precision,recall,f1-score,support
0,0.997953216374269,0.9933061699650757,0.9956242707117853,3436.0
1,0.9998743718592965,1.0,0.999937181983793,7959.0
2,0.999777183600713,0.999777183600713,0.999777183600713,4488.0
3,1.0,1.0,1.0,5646.0
4,0.9962003454231434,0.9987878787878788,0.9974924340683096,5775.0
accuracy,0.9988646352182831,0.9988646352182831,0.9988646352182831,0.9988646352182831
macro avg,0.9987610234514843,0.9983742464707335,0.9985662140729202,27304.0
weighted avg,0.9988655278314086,0.9988646352182831,0.9988640430823026,27304.0
