sec_ip_src,ip_src,ip_dst,prt_src,prt_dst,proto,fwd_num_pkts,bwd_num_pkts,fwd_mean_iat,bwd_mean_iat,fwd_std_iat,bwd_std_iat,fwd_min_iat,bwd_min_iat,fwd_max_iat,bwd_max_iat,fwd_mean_offset,bwd_mean_offset,fwd_mean_pkt_len,bwd_mean_pkt_len,fwd_std_pkt_len,bwd_std_pkt_len,fwd_min_pkt_len,bwd_min_pkt_len,fwd_max_pkt_len,bwd_max_pkt_len,fwd_num_bytes,bwd_num_bytes,fwd_num_psh_flags,bwd_num_psh_flags,fwd_num_rst_flags,bwd_num_rst_flags,fwd_num_urg_flags,bwd_num_urg_flags,num_src_flows,src_ip_dst_prt_delta
0_127.0.0.1,127.0.0.1,127.0.0.1,33194,1883,6,8,7,0.0035744053976876394,0.0041493574778238935,0.007780301125712486,0.008312168580267927,3.981590270996094e-05,4.1961669921875e-05,0.022613048553466797,0.022716045379638672,0.020665781838553294,0.024025638898213703,49.25,42.285714285714285,13.188536689109979,4.199125273342591,40.0,40.0,78.0,52.0,394,296,3,1,0,0,0,0,28,0.0
0_127.0.0.1,127.0.0.1,127.0.0.1,33199,1883,6,8,7,0.002646582467215402,0.00306697686513265,0.005316771684696631,0.005681122243589909,4.696846008300781e-05,5.0067901611328125e-05,0.015634775161743164,0.015735864639282227,0.01496992792401995,0.017380555470784504,49.75,42.285714285714285,14.298164217828806,4.199125273342591,40.0,40.0,82.0,52.0,398,296,3,1,0,0,0,0,28,0.0
0_127.0.0.1,127.0.0.1,127.0.0.1,33202,1883,6,8,7,0.002632992608206613,0.003050645192464193,0.005378291438690332,0.0057491841276539795,3.790855407714844e-05,3.886222839355469e-05,0.015781164169311523,0.01588296890258789,0.014990636280604772,0.01739223798116048,49.375,42.285714285714285,13.462331707397496,4.199125273342591,40.0,40.0,79.0,52.0,395,296,3,1,0,0,0,0,28,0.0
0_127.0.0.1,127.0.0.1,127.0.0.1,33205,1883,6,8,7,0.0030773026602608816,0.0035698413848876953,0.006294249767643729,0.006718126854297612,4.100799560546875e-05,4.291534423828125e-05,0.01846909523010254,0.018571138381958008,0.017443622861589705,0.020266413688659668,49.25,42.285714285714285,13.188536689109979,4.199125273342591,40.0,40.0,78.0,52.0,394,296,3,1,0,0,0,0,28,0.0
0_127.0.0.1,127.0.0.1,127.0.0.1,33208,1883,6,8,7,0.0032512801034109934,0.0037653048833211264,0.0064095563887032365,0.006831318639629555,8.296966552734375e-05,8.106231689453125e-05,0.01891303062438965,0.019006967544555664,0.018240485872541155,0.02118833859761556,48.75,42.285714285714285,12.121777922400657,4.199125273342591,40.0,40.0,74.0,52.0,390,296,3,1,0,0,0,0,28,0.0
0_127.0.0.1,127.0.0.1,127.0.0.1,33211,1883,6,8,7,0.0030263151441301617,0.0035098393758138022,0.006362251912679861,0.006791888101026201,4.601478576660156e-05,4.410743713378906e-05,0.018594980239868164,0.01868605613708496,0.01732325553894043,0.02012487252553304,49.125,42.285714285714285,12.917405892825386,4.199125273342591,40.0,40.0,77.0,52.0,393,296,3,1,0,0,0,0,28,0.0
0_127.0.0.1,127.0.0.1,127.0.0.1,33214,1883,6,8,7,0.003041131155831473,0.003531336784362793,0.006464255698775997,0.006903754870194915,3.886222839355469e-05,4.291534423828125e-05,0.018857955932617188,0.018952131271362305,0.017508813313075473,0.020348588625590008,49.625,42.285714285714285,14.017288432503628,4.199125273342591,40.0,40.0,81.0,52.0,397,296,3,1,0,0,0,0,28,0.0
0_127.0.0.1,127.0.0.1,127.0.0.1,33217,1883,6,8,7,0.0032403128487723215,0.0037446419397989907,0.0059260753699044025,0.006350743692294667,0.00010085105895996094,7.200241088867188e-05,0.01764512062072754,0.017834901809692383,0.01787311690194266,0.02071555455525716,49.25,42.285714285714285,13.188536689109979,4.199125273342591,40.0,40.0,78.0,52.0,394,296,3,1,0,0,0,0,28,0.0
0_127.0.0.1,127.0.0.1,127.0.0.1,33220,1883,6,8,7,0.0026437214442661832,0.0030666589736938477,0.00541410557292407,0.005783422882972955,4.1961669921875e-05,3.790855407714844e-05,0.015886783599853516,0.01598381996154785,0.01504554067339216,0.017468730608622234,49.125,42.285714285714285,12.917405892825386,4.199125273342591,40.0,40.0,77.0,52.0,393,296,3,1,0,0,0,0,28,0.0
0_127.0.0.1,127.0.0.1,127.0.0.1,33223,1883,6,8,7,0.0028731482369559152,0.0033321777979532876,0.005983812615514087,0.006386222033944303,6.699562072753906e-05,4.887580871582031e-05,0.01751708984375,0.017602920532226562,0.016382353646414622,0.019030650456746418,48.75,42.285714285714285,12.121777922400657,4.199125273342591,40.0,40.0,74.0,52.0,390,296,3,1,0,0,0,0,28,0.0
0_127.0.0.1,127.0.0.1,127.0.0.1,33226,1883,6,8,7,0.0029471261160714285,0.0034166574478149414,0.006287470102194005,0.006721012204602858,3.790855407714844e-05,3.886222839355469e-05,0.018336057662963867,0.018435001373291016,0.01692329134259905,0.01964592933654785,49.25,42.285714285714285,13.188536689109979,4.199125273342591,40.0,40.0,78.0,52.0,394,296,3,1,0,0,0,0,28,0.0
0_127.0.0.1,127.0.0.1,127.0.0.1,33229,1883,6,8,7,0.0030828884669712613,0.003578821818033854,0.006392263990913147,0.006821952843543385,8.797645568847656e-05,9.894371032714844e-05,0.018723011016845703,0.018817901611328125,0.017551728657313755,0.020408908526102703,49.75,42.285714285714285,14.298164217828806,4.199125273342591,40.0,40.0,82.0,52.0,398,296,3,1,0,0,0,0,28,0.0
0_127.0.0.1,127.0.0.1,127.0.0.1,33232,1883,6,8,7,0.0025993074689592633,0.003011345863342285,0.0052604518851603835,0.005620654264808749,4.982948303222656e-05,5.221366882324219e-05,0.015463113784790039,0.015561103820800781,0.014688117163521903,0.017043391863505047,49.375,42.285714285714285,13.462331707397496,4.199125273342591,40.0,40.0,79.0,52.0,395,296,3,1,0,0,0,0,28,0.0
0_127.0.0.1,127.0.0.1,127.0.0.1,33235,1883,6,8,7,0.0032375880650111605,0.0037555297215779624,0.006821860800457628,0.007283216125882524,4.601478576660156e-05,4.100799560546875e-05,0.019927024841308594,0.020022153854370117,0.01851616586957659,0.021518945693969727,49.25,42.285714285714285,13.188536689109979,4.199125273342591,40.0,40.0,78.0,52.0,394,296,3,1,0,0,0,0,28,0.0
