sec_ip_src,ip_src,ip_dst,prt_src,prt_dst,proto,fwd_num_pkts,bwd_num_pkts,fwd_mean_iat,bwd_mean_iat,fwd_std_iat,bwd_std_iat,fwd_min_iat,bwd_min_iat,fwd_max_iat,bwd_max_iat,fwd_mean_offset,bwd_mean_offset,fwd_mean_pkt_len,bwd_mean_pkt_len,fwd_std_pkt_len,bwd_std_pkt_len,fwd_min_pkt_len,bwd_min_pkt_len,fwd_max_pkt_len,bwd_max_pkt_len,fwd_num_bytes,bwd_num_bytes,fwd_num_psh_flags,bwd_num_psh_flags,fwd_num_rst_flags,bwd_num_rst_flags,fwd_num_urg_flags,bwd_num_urg_flags,num_src_flows,src_ip_dst_prt_delta
0_127.0.0.1,127.0.0.1,127.0.0.1,24810,1883,6,60,59,0.9333570165149236,0.9494484663009644,0.25084322427724065,0.2207485808592965,0.0001270771026611328,0.0005609989166259766,1.001533031463623,1.0015568733215332,26.140253705493475,26.59089644612937,133.58333333333334,40.271186440677965,22.869405812618353,1.6242913289099579,40.0,40.0,140.0,52.0,8015,2376,57,1,0,0,0,0,3,0.0
0_127.0.0.1,127.0.0.1,127.0.0.1,24814,1883,6,59,58,0.9322338638634518,0.9485881244927122,0.25271237539487323,0.22242115429647716,0.00011205673217773438,0.0006511211395263672,1.0014770030975342,1.0015041828155518,25.64347619434883,26.09332439355683,133.6271186440678,40.275862068965516,23.08488264973477,1.637840287867299,40.0,40.0,140.0,52.0,7884,2336,56,1,0,0,0,0,3,0.0
0_127.0.0.1,127.0.0.1,127.0.0.1,24820,1883,6,57,56,0.9295485019683838,0.9464486382224343,0.2577011666780711,0.22720750058911576,0.00011992454528808594,0.0001971721649169922,1.0013511180877686,1.0013480186462402,24.63340895942279,25.081248010288586,133.2982456140351,40.285714285714285,23.428101968243407,1.6659862556700862,40.0,40.0,140.0,52.0,7598,2256,54,1,0,0,0,0,3,0.0
