,precision,recall,f1-score,support
0,0.9989501312335958,0.09008710471501609,0.16526987711146815,21124.0
1,1.0,0.49895384615384614,0.6657361031283356,8125.0
2,1.0,0.9997771339425006,0.9998885545525465,4487.0
3,0.2816917497215638,1.0,0.43956239834228295,9864.0
4,0.24095203042571464,0.1961450114850694,0.21625192688835057,10013.0
accuracy,0.4154029806203719,0.4154029806203719,0.4154029806203719,0.4154029806203719
macro avg,0.7043187822761748,0.5569926192592864,0.4973417720045967,53613.0
weighted avg,0.7256650937661513,0.4154029806203719,0.37095369980189485,53613.0
