,precision,recall,f1-score,support
0,0.7002432925593025,0.9810168528687748,0.817185220237391,21124.0
1,0.9916758477169788,0.9970461538461538,0.9943537498465693,8125.0
2,1.0,1.0,1.0,4487.0
3,0.9975562570003055,0.9931069437404967,0.9953266280605506,9865.0
4,0.7399481193255513,0.11396324410707151,0.1975073567595638,10012.0
accuracy,0.8253408688191297,0.8253408688191297,0.8253408688191297,0.8253408688191297
macro avg,0.8858847033204276,0.8170266389124994,0.800874590980815,53613.0
weighted avg,0.8316184250222632,0.8253408688191297,0.7763916522390487,53613.0
