,precision,recall,f1-score,support
0,0.7019185459441265,0.9871715976331361,0.8204583456280122,21125.0
1,0.9909413636920064,0.9964303298867553,0.9936782667403179,8124.0
2,1.0,0.9993315508021391,0.9996656636576395,4488.0
3,0.9969456322541234,0.9927007299270073,0.9948186528497409,9864.0
4,0.8102240896358543,0.11554978527913712,0.20225504763569618,10013.0
accuracy,0.8278248218748834,0.8278248218748834,0.8278248218748834,0.8278248218748834
macro avg,0.9000059263052222,0.818236798705635,0.8021751953022814,53614.0
weighted avg,0.8451725752188237,0.8278248218748834,0.7783301986901119,53614.0
