,precision,recall,f1-score,support
0,0.7009091512376402,0.9999526627218935,0.824142168815715,21125.0
1,0.9878019029031471,0.9966769230769231,0.9922195674814679,8125.0
2,1.0,1.0,1.0,4487.0
3,0.9972426470588235,0.989963503649635,0.9935897435897436,9864.0
4,1.0,0.09977029861180466,0.18143843080276062,10013.0
accuracy,0.8295034878949528,0.8295034878949528,0.8295034878949528,0.8295034878949528
macro avg,0.9371907402399222,0.8172726776120512,0.7982779821379374,53614.0
weighted avg,0.8797962799188915,0.8295034878949528,0.7754746808747002,53614.0
