,precision,recall,f1-score,support
0,0.5897040597321725,0.9234556213017752,0.7197727188872081,21125.0
1,0.9991382494152407,0.999015263417036,0.999076752631255,8124.0
2,1.0,0.9993315508021391,0.9996656636576395,4488.0
3,0.7828957711051722,0.5048661800486618,0.6138674884437596,9864.0
4,0.5377237851662404,0.08399081194447218,0.1452880711756068,10013.0
accuracy,0.7074644682359086,0.7074644682359086,0.7074644682359086,0.7074644682359086
macro avg,0.7818923730837651,0.7021318855028169,0.6955341389590937,53614.0
weighted avg,0.7119261675521794,0.7074644682359086,0.6587487612574079,53614.0
