,precision,recall,f1-score,support
0,0.9051898555498047,0.9107176671085022,0.9079453477122024,21124.0
1,1.0,1.0,1.0,8125.0
2,1.0,1.0,1.0,4487.0
3,1.0,1.0,1.0,9865.0
4,0.8091672569057978,0.7987415101877746,0.8039205830610706,10012.0
accuracy,0.9272377968030142,0.9272377968030142,0.9272377968030142,0.9272377968030142
macro avg,0.9428714224911205,0.9418918354592554,0.9423731861546546,53613.0
weighted avg,0.9270067536749469,0.9272377968030142,0.9271126481017664,53613.0
