,precision,recall,f1-score,support
0,0.6997482443354975,1.0,0.8233551605862176,21124.0
1,0.999876938222988,1.0,0.9999384653252108,8125.0
2,1.0,0.9997771339425006,0.9998885545525465,4487.0
3,0.9998986212489862,0.9998986212489862,0.9998986212489862,9864.0
4,1.0,0.09477679017277539,0.17314358693669038,10013.0
accuracy,0.83089922220357,0.83089922220357,0.83089922220357,0.83089922220357
macro avg,0.9399047607614943,0.8188905090728525,0.7992448777299302,53613.0
weighted avg,0.8816608292094236,0.83089922220357,0.7759357081913892,53613.0
