,precision,recall,f1-score,support
0,0.9984771573604061,0.09311683393296724,0.1703472763488352,21124.0
1,1.0,0.49895384615384614,0.6657361031283356,8125.0
2,1.0,0.9997771339425006,0.9998885545525465,4487.0
3,0.28348085986895044,1.0,0.44173757277205555,9864.0
4,0.24870591067774167,0.20633176870068912,0.22554585152838427,10013.0
accuracy,0.41849924458620114,0.41849924458620114,0.41849924458620114,0.41849924458620114
macro avg,0.7061327855814196,0.5596359165460005,0.5006510716660314,53613.0
weighted avg,0.7272560565057873,0.41849924458620114,0.37509021463012826,53613.0
