,precision,recall,f1-score,support
0,0.9988808058198098,0.08449704142011834,0.15581354748603352,21125.0
1,0.9995157384987894,0.5081240768094535,0.6737391872041782,8124.0
2,1.0,0.9993315508021391,0.9996656636576395,4488.0
3,0.28382344478333427,1.0,0.4421533910081133,9864.0
4,0.23315204540080398,0.1969439728353141,0.21352390233338747,10013.0
accuracy,0.4147051143358078,0.4147051143358078,0.4147051143358078,0.4147051143358078
macro avg,0.7030744069005475,0.557779328373405,0.4969791383378704,53614.0
weighted avg,0.72450495714643,0.4147051143358078,0.36839134794928424,53614.0
