,precision,recall,f1-score,support
0,0.5837292336746437,0.9364703654610869,0.7191754676167451,21124.0
1,0.9950998407448242,0.9997538461538461,0.9974214145383105,8125.0
2,1.0,0.9997771339425006,0.9998885545525465,4487.0
3,0.9997974478428195,0.5004055150040552,0.6669819606783326,9864.0
4,0.372310570626754,0.07949665434934584,0.13101802320796643,10013.0
accuracy,0.7110775371644937,0.7110775371644937,0.7110775371644937,0.7110775371644937
macro avg,0.7901874185778083,0.703180702982167,0.7028970841187803,53613.0
weighted avg,0.7179756832746187,0.7110775371644937,0.6653872202982413,53613.0
