,precision,recall,f1-score,support
0,0.5845434917630357,0.9355739644970414,0.7195281782437746,21125.0
1,1.0,1.0,1.0,8125.0
2,1.0,1.0,1.0,4487.0
3,1.0,0.49868207623682076,0.6654941486842996,9864.0
4,0.40096830985915494,0.09098172375911315,0.14831094831094832,10013.0
accuracy,0.7126123773641213,0.7126123773641213,0.7126123773641213,0.7126123773641213
macro avg,0.7971023603244382,0.7050475528985951,0.7066666550478045,53614.0
weighted avg,0.7244260258535802,0.7126123773641213,0.6688832128447643,53614.0
