,precision,recall,f1-score,support
0,1.0,0.9877906976744186,0.9938578531734426,1720.0
1,0.9992471769134254,1.0,0.9996234467177105,3982.0
2,0.9993316997104033,1.0,0.9996657381615599,4486.0
3,1.0,1.0,1.0,2824.0
4,0.9934998289428669,0.9986244841815681,0.9960555650831762,2908.0
accuracy,0.9984296482412061,0.9984296482412061,0.9984296482412061,0.9984296482412061
macro avg,0.998415741113339,0.9972830363711974,0.9978405206271779,15920.0
weighted avg,0.9984360405738685,0.9984296482412061,0.9984275224210352,15920.0
