,precision,recall,f1-score,support
0,1.0,0.9912790697674418,0.9956204379562044,1720.0
1,0.9984951091045899,1.0,0.9992469879518072,3981.0
2,0.9986633994208064,0.9991085357700022,0.9988859180035651,4487.0
3,1.0,1.0,1.0,2823.0
4,0.99519890260631,0.9975936748023376,0.9963948497854077,2909.0
accuracy,0.9983668341708543,0.9983668341708543,0.9983668341708543,0.9983668341708543
macro avg,0.9984714822263413,0.9975962560679564,0.9980296387393969,15920.0
weighted avg,0.9983696802907215,0.9983668341708543,0.9983657754038042,15920.0
