,precision,recall,f1-score,support
0,0.9544543110856488,0.969732246798603,0.9620326259564025,3436.0
1,0.9881943581458928,0.9991204925241864,0.9936273897288517,7959.0
2,0.997766361402725,0.9953208556149733,0.9965421081985499,4488.0
3,1.0,1.0,1.0,5646.0
4,1.0,0.9771428571428571,0.9884393063583815,5775.0
accuracy,0.9903310870202168,0.9903310870202168,0.9903310870202168,0.9903310870202168
macro avg,0.9880830061268533,0.9882632904161239,0.9881282860484373,27304.0
weighted avg,0.9904599816638178,0.9903310870202168,0.9903509549316171,27304.0
