,precision,recall,f1-score,support
0,0.9663599769982749,0.9778876927553098,0.9720896601590745,3437.0
1,0.9926018808777429,0.9945973112200025,0.9935985942010794,7959.0
2,0.9850220264317181,0.9966570091375083,0.9908053616926997,4487.0
3,1.0,1.0,1.0,5647.0
4,0.998587570621469,0.9795635607897472,0.988984088127295,5774.0
accuracy,0.9907705830647524,0.9907705830647524,0.9907705830647524,0.9907705830647524
macro avg,0.9885142909858409,0.9897411147805135,0.9890955408360297,27304.0
weighted avg,0.9908488161520842,0.9907705830647524,0.990780147816264,27304.0
