,precision,recall,f1-score,support
0,0.9751273599041055,0.9470314318975553,0.9608740587627344,3436.0
1,0.9830634194585239,0.9991204925241864,0.9910269192422732,7959.0
2,0.9867899603698811,0.9986631016042781,0.9926910299003322,4488.0
3,1.0,1.0,1.0,5646.0
4,0.9973637961335676,0.9826839826839827,0.9899694723070214,5775.0
accuracy,0.9891957222384998,0.9891957222384998,0.9891957222384998,0.9891957222384998
macro avg,0.9884689071732156,0.9854998017420005,0.9869122960424722,27304.0
weighted avg,0.9892040956970509,0.9891957222384998,0.9891377659289389,27304.0
