,precision,recall,f1-score,support
0,0.962129840546697,0.9834109429569267,0.9726540011514104,3436.0
1,0.9949710837314558,0.9943460233697701,0.9946584553509709,7959.0
2,0.9863225237149791,0.9962121212121212,0.991242656024831,4488.0
3,1.0,0.999822883457315,0.9999114338853955,5646.0
4,0.9985865724381625,0.9787012987012987,0.9885439440314823,5775.0
accuracy,0.9911002050981541,0.9911002050981541,0.9911002050981541,0.9911002050981541
macro avg,0.9884020040862588,0.9904986539394862,0.9894020980888181,27304.0
weighted avg,0.9912212836873836,0.9911002050981541,0.9911208638599773,27304.0
