,precision,recall,f1-score,support
0,0.9839636913767019,0.9464493597206054,0.9648420115709835,3436.0
1,0.9844020797227037,0.9991204925241864,0.9917066783064165,7959.0
2,0.9926910299003322,0.9986631016042781,0.9956681106297901,4488.0
3,1.0,1.0,1.0,5646.0
4,0.9944444444444445,0.9918614718614719,0.9931512787169484,5775.0
accuracy,0.9910635804277762,0.9910635804277762,0.9910635804277762,0.9910635804277762
macro avg,0.9911002490888364,0.9872188851421084,0.9890736158448277,27304.0
weighted avg,0.9910587974268497,0.9910635804277762,0.9909975724983716,27304.0
