,precision,recall,f1-score,support
0,0.9747899159663865,0.9790454016298021,0.9769130245389865,3436.0
1,0.9948505400653103,0.9951005025125628,0.99497550558975,7960.0
2,0.9869872077635642,0.9973256073100066,0.992129475667886,4487.0
3,1.0,1.0,1.0,5646.0
4,0.9966730870250394,0.9856277056277056,0.991119623889953,5775.0
accuracy,0.9924553179021389,0.9924553179021389,0.9924553179021389,0.9924553179021389
macro avg,0.9906601501640602,0.9914198434160155,0.9910275259373151,27304.0
weighted avg,0.9924841462417627,0.9924553179021389,0.9924582098629011,27304.0
