,precision,recall,f1-score,support
0,0.9665809768637532,0.9845795752109398,0.9754972614586336,3437.0
1,0.99634944612286,0.9944716672948863,0.9954096711312331,7959.0
2,0.9865668354987888,0.9984399375975039,0.9924678777137793,4487.0
3,1.0,0.9998229148220295,0.9999114495705305,5647.0
4,0.9984132581100141,0.9807758919293385,0.9895159881181199,5774.0
accuracy,0.9920890711983592,0.9920890711983592,0.9920890711983592,0.9920890711983592
macro avg,0.9895821033190833,0.9916179973709397,0.9905604495984592,27304.0
weighted avg,0.992186038762923,0.9920890711983592,0.9921043912462403,27304.0
